Strategy,CAGR,Annualized Vol,Sharpe,Max Drawdown,Ending Multiple,Trigger Days,Avg Incremental Turnover,Total Incremental Turnover
Original TLAQ,0.3107400101939122,0.19397041571055454,1.4929765650991649,-0.3061895390315066,51.846063278544605,0,0.0,0.0
Beta>1.00; SVXY x0.75,0.303806831118816,0.18993999527824496,1.4926115525950794,-0.30797001547217195,47.985237783224335,1049,0.0038800800716114986,14.26705442331548
Beta>1.00; SVXY x0.50,0.2967543948440181,0.18646271725539587,1.487804005054516,-0.30974885083575576,44.334066747859055,1049,0.007760160143222997,28.53410884663096
Beta>1.25; SVXY x0.75,0.30804960038937423,0.1920215011437398,1.4954514121296367,-0.3061895390315067,50.31475404943907,518,0.002199995650603661,8.089384007269661
Beta>1.25; SVXY x0.50,0.30529797914170076,0.19032023871537823,1.4960277847103693,-0.3061895390315067,48.792262247248146,518,0.004399991301207323,16.178768014539326
Beta>1.50; SVXY x0.75,0.31040699372383806,0.19311443063579808,1.4974133541212153,-0.3061895390315055,51.65419271443675,221,0.0008086854880421466,2.973536539530973
Beta>1.50; SVXY x0.50,0.31004852155822604,0.19235552236327963,1.5011316862085566,-0.30618953903150625,51.4483949142536,221,0.0016173709760842932,5.947073079061946
Beta>1.50; SVXY x0.00,0.3092554191515564,0.1911334137621399,1.50632298470496,-0.3061895390315057,50.99578824201158,221,0.0032347419521685863,11.894146158123892
Prior joint-down; SVXY x0.75,0.30496895305952676,0.1922989618689632,1.4813002716181685,-0.30804183237060523,48.613110553220956,321,0.008309339155681942,30.553440075442502
Prior joint-down; SVXY x0.50,0.2991677849627372,0.19083670839685254,1.4678084015988668,-0.3099338899664411,45.55334068860988,321,0.016618678311363884,61.106880150885004
Prior joint-down; SVXY x0.00,0.2874775495407689,0.18855857513303476,1.435257784841695,-0.31383573402983256,39.924644761633736,321,0.03323735662272777,122.21376030177001
