ticker,date,close,shares,exposure,sharetrades,tradevalue,commission,interest,short_borrow_cost,margin_call
Cash,2001-06-15,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-06-15,0,0,0,0,0,0,0,-0,FALSE
TLT,2001-06-15,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-06-15,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-06-15,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-06-15,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-06-18,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-06-18,35.57199999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-06-18,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-06-18,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-06-18,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-06-18,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-06-19,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-06-19,35.66899999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-06-19,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-06-19,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-06-19,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-06-19,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-06-20,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-06-20,36.05499999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-06-20,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-06-20,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-06-20,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-06-20,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-06-21,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-06-21,36.34399999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-06-21,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-06-21,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-06-21,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-06-21,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-06-22,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-06-22,36.11899999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-06-22,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-06-22,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-06-22,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-06-22,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-06-25,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-06-25,35.88799999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-06-25,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-06-25,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-06-25,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-06-25,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-06-26,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-06-26,35.79099999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-06-26,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-06-26,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-06-26,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-06-26,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-06-27,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-06-27,35.79099999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-06-27,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-06-27,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-06-27,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-06-27,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-06-28,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-06-28,36.24199999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-06-28,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-06-28,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-06-28,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-06-28,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-06-29,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-06-29,36.43599999999994,0,0,0,0,0,0,-0,FALSE
TLT,2001-06-29,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-06-29,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-06-29,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-06-29,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-02,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-02,36.53299999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-02,0,0,0,0,0,0,0,-0,FALSE
